"Filename","LOF_All_Vars","LOF_DOBIN","LOF_PCA","KNN_All_Vars","KNN_DOBIN","KNN_PCA","IFOREST_All_Vars","IFOREST_DOBIN","IFOREST_PCA"
"thyroid_sick_C2_P05_V09_CA0",0.529347322557624,0.531346379370068,0.515080567414957,0.528438565520235,0.52509463176038,0.503621464611686,0.498752154515823,0.520956709360511,0.499261308860538
"thyroid_sick_C2_P05_V10_CA0",0.528203811980151,0.526903799042623,0.507864765267327,0.529036404535647,0.522059529324369,0.501948976057226,0.539014995012791,0.518920091981654,0.542533168066841
"titanic_C1_P02_V01_CNA",0.732142857142857,0.494047619047619,0.767857142857143,0.708333333333333,0.839285714285714,0.523809523809524,0.75,0.80952380952381,0.726190476190476
"titanic_C1_P02_V02_CNA",0.422619047619048,0.541666666666667,0.726190476190476,0.571428571428571,0.732142857142857,0.523809523809524,0.583333333333333,0.642857142857143,0.583333333333333
"titanic_C1_P02_V03_CNA",0.547619047619048,0.44047619047619,0.5,0.523809523809524,0.648809523809524,0.446428571428571,0.619047619047619,0.607142857142857,0.523809523809524
"titanic_C1_P02_V04_CNA",0.526785714285714,0.589285714285714,0.553571428571429,0.535714285714286,0.714285714285714,0.589285714285714,0.642857142857143,0.553571428571429,0.803571428571429
"titanic_C1_P02_V05_CNA",0.485714285714286,0.492857142857143,0.557142857142857,0.571428571428572,0.75,0.607142857142857,0.5,0.442857142857143,0.728571428571429
"titanic_C1_P02_V06_CNA",0.635714285714286,0.7,0.671428571428571,0.6,0.721428571428571,0.557142857142857,0.685714285714286,0.557142857142857,0.685714285714286
"titanic_C1_P02_V07_CNA",0.514285714285714,0.657142857142857,0.45,0.635714285714286,0.557142857142857,0.442857142857143,0.485714285714286,0.628571428571429,0.671428571428571
"titanic_C1_P02_V08_CNA",0.571428571428571,0.553571428571429,0.589285714285714,0.723214285714286,0.75,0.464285714285714,0.660714285714286,0.571428571428571,0.642857142857143
"titanic_C1_P02_V09_CNA",0.553571428571429,0.517857142857143,0.482142857142857,0.517857142857143,0.767857142857143,0.446428571428571,0.642857142857143,0.589285714285714,0.821428571428571
"titanic_C1_P02_V10_CNA",0.485714285714286,0.492857142857143,0.557142857142857,0.571428571428572,0.75,0.607142857142857,0.5,0.442857142857143,0.728571428571429
"titanic_C1_P05_V01_CNA",0.521428571428571,0.507142857142857,0.514285714285714,0.707142857142857,0.492857142857143,0.557142857142857,0.557142857142857,0.6,0.714285714285714
"titanic_C1_P05_V02_CNA",0.529761904761905,0.571428571428571,0.488095238095238,0.625,0.738095238095238,0.553571428571429,0.666666666666667,0.964285714285714,0.523809523809524
"titanic_C1_P05_V03_CNA",0.622448979591837,0.459183673469388,0.719387755102041,0.520408163265306,0.709183673469388,0.739795918367347,0.540816326530612,0.622448979591837,0.469387755102041
"titanic_C1_P05_V04_CNA",0.592857142857143,0.628571428571429,0.6,0.592857142857143,0.507142857142857,0.414285714285714,0.614285714285714,0.657142857142857,0.371428571428571
"titanic_C1_P05_V05_CNA",0.821428571428571,0.607142857142857,0.556122448979592,0.688775510204082,0.755102040816326,0.688775510204082,0.653061224489796,0.530612244897959,0.530612244897959
"titanic_C1_P05_V06_CNA",0.635714285714286,0.657142857142857,0.585714285714286,0.585714285714286,0.564285714285714,0.585714285714286,0.671428571428571,0.614285714285714,0.6
"titanic_C1_P05_V07_CNA",0.735714285714286,0.65,0.714285714285714,0.585714285714286,0.685714285714286,0.428571428571429,0.685714285714286,0.4,0.442857142857143
"titanic_C1_P05_V08_CNA",0.744047619047619,0.541666666666667,0.446428571428571,0.648809523809524,0.827380952380952,0.625,0.511904761904762,0.75,0.880952380952381
"titanic_C1_P05_V09_CNA",0.581632653061224,0.714285714285714,0.602040816326531,0.622448979591837,0.719387755102041,0.622448979591837,0.622448979591837,0.653061224489796,0.5
"titanic_C1_P05_V10_CNA",0.470238095238095,0.56547619047619,0.738095238095238,0.529761904761905,0.636904761904762,0.583333333333333,0.619047619047619,0.797619047619048,0.714285714285714
"titanic_C2_P02_V01_CNA",0.5375,0.53125,0.55,0.53125,0.49375,0.46875,0.5875,0.7,0.5375
"titanic_C2_P02_V02_CNA",0.5,0.75,0.677777777777778,0.622222222222222,0.561111111111111,0.7,0.488888888888889,0.688888888888889,0.666666666666667
"titanic_C2_P02_V03_CNA",0.4375,0.43125,0.49375,0.5125,0.50625,0.575,0.625,0.5625,0.5875
"titanic_C2_P02_V04_CNA",0.5375,0.68125,0.56875,0.51875,0.6375,0.53125,0.6125,0.4375,0.6125
"titanic_C2_P02_V05_CNA",0.641666666666667,0.608333333333333,0.608333333333333,0.733333333333333,0.608333333333333,0.65,0.55,0.783333333333333,0.583333333333333
"titanic_C2_P02_V06_CNA",0.725,0.466666666666667,0.566666666666667,0.566666666666667,0.716666666666667,0.608333333333333,0.583333333333333,0.683333333333333,0.683333333333333
"titanic_C2_P02_V07_CNA",0.61875,0.60625,0.625,0.58125,0.5125,0.46875,0.525,0.5,0.725
"titanic_C2_P02_V08_CNA",0.5875,0.55,0.4625,0.608333333333333,0.504166666666667,0.583333333333333,0.575,0.55,0.733333333333333
"titanic_C2_P02_V09_CNA",0.655555555555556,0.583333333333333,0.544444444444444,0.494444444444444,0.577777777777778,0.577777777777778,0.533333333333333,0.488888888888889,0.588888888888889
"titanic_C2_P02_V10_CNA",0.6,0.44375,0.4875,0.45625,0.51875,0.575,0.6875,0.5625,0.6375
"titanic_C2_P05_V01_CNA",0.48,0.655,0.67,0.555,0.58,0.59,0.57,0.62,0.49
"titanic_C2_P05_V02_CNA",0.846153846153846,0.657692307692308,0.419230769230769,0.569230769230769,0.526923076923077,0.546153846153846,0.615384615384615,0.476923076923077,0.546153846153846
"titanic_C2_P05_V03_CNA",0.627272727272727,0.563636363636364,0.554545454545455,0.545454545454545,0.559090909090909,0.445454545454545,0.663636363636364,0.554545454545455,0.536363636363636
"titanic_C2_P05_V04_CNA",0.67,0.405,0.52,0.525,0.72,0.63,0.59,0.64,0.52
"titanic_C2_P05_V06_CNA",0.568181818181818,0.540909090909091,0.640909090909091,0.55,0.536363636363636,0.609090909090909,0.718181818181818,0.718181818181818,0.554545454545455
"titanic_C2_P05_V07_CNA",0.441666666666667,0.670833333333333,0.5125,0.5875,0.5375,0.570833333333333,0.608333333333333,0.65,0.533333333333333
"titanic_C2_P05_V08_CNA",0.633333333333333,0.491666666666667,0.495833333333333,0.55,0.508333333333333,0.579166666666667,0.625,0.425,0.575
"titanic_C2_P05_V09_CNA",0.65,0.627272727272727,0.595454545454545,0.645454545454546,0.595454545454545,0.645454545454545,0.718181818181818,0.7,0.545454545454545
"titanic_C2_P05_V10_CNA",0.688461538461538,0.626923076923077,0.561538461538462,0.576923076923077,0.526923076923077,0.580769230769231,0.561538461538462,0.630769230769231,0.592307692307692
"twonorm_C1_P02_V01_CNA",0.836035646772887,0.844382032586191,0.823984156989828,0.860437483121793,0.898651543793321,0.893110090917274,0.703040777747772,0.81654514357728,0.795056260689531
"twonorm_C1_P02_V02_CNA",0.846275992438563,0.870458187055541,0.86831938068233,0.865399225852912,0.909316770186335,0.915209289765055,0.812227923305428,0.797033036276893,0.76707174363129
"twonorm_C1_P02_V03_CNA",0.800298856782789,0.842066792690611,0.838170852461968,0.826439823566478,0.881224232604195,0.889091727428211,0.744117382302637,0.78824736699973,0.78357367899901
"twonorm_C1_P02_V04_CNA",0.819612926456027,0.858115041857953,0.852440363669097,0.844940138626339,0.893383742911153,0.902891349356378,0.674721397065442,0.766315599963993,0.765145377621748
"twonorm_C1_P02_V05_CNA",0.815522549284364,0.866306598253668,0.832805833108291,0.840644522459267,0.898143847330993,0.885771896660365,0.685256998829778,0.748639841569898,0.690816455126474
"twonorm_C1_P02_V06_CNA",0.808692051489783,0.831552795031056,0.857769376181474,0.839891979476101,0.884443244216401,0.897546133765415,0.770874066072554,0.797447114951841,0.706771086506436
